batch_id,candidate_index,parameter_key,prompt,negative_prompt,cfg_scale,search_phase,hypothesis,parent_iteration,status,iteration
16,0,c46f4b4cdc0113829e51a323ca488bbd3387488c60b9979360de30ead5c47f6e,"photorealistic high image quality video restoration, natural sharpness, vivid but realistic colors, balanced contrast, clean pleasing frames, faithful original content, stable motion","low aesthetic score, low image quality, blurry, dull, flat, noisy, artifacts",2.000000,prompt_negative_cfg,Low-CFG fidelity prompt with artifact-focused negative prompt.,,completed,437
16,1,566f7c53cf87f3785e909d0d290554468a59c465f6ecab7f28a3a69e4255560a,"photorealistic high image quality video restoration, natural sharpness, vivid but realistic colors, balanced contrast, clean pleasing frames, faithful original content, stable motion","low aesthetic score, low image quality, blurry, dull, flat, noisy, artifacts",2.500000,prompt_negative_cfg,Low-CFG fidelity prompt with artifact-focused negative prompt.,,completed,438
16,2,babff9e085699c4850e56cf467e0bd5f33b56ae9199f1cbba49d7d53a710c828,"photorealistic high image quality video restoration, natural sharpness, vivid but realistic colors, balanced contrast, clean pleasing frames, faithful original content, stable motion","low aesthetic score, low image quality, blurry, dull, flat, noisy, artifacts",3.000000,prompt_negative_cfg,Low-CFG fidelity prompt with artifact-focused negative prompt.,,completed,439
16,3,52b36b929289152ed8437e6686723e0d19df28026ba15d691c382fdad687e24b,"photorealistic high image quality video restoration, natural sharpness, vivid but realistic colors, balanced contrast, clean pleasing frames, faithful original content, stable motion","low aesthetic score, low image quality, blurry, dull, flat, noisy, artifacts",3.500000,prompt_negative_cfg,Low-CFG fidelity prompt with artifact-focused negative prompt.,,completed,440
16,4,9fe59dba959461122892999bfd3aab890776622610b1d3960042bb3a01f5c5e1,"photorealistic high image quality video restoration, natural sharpness, vivid but realistic colors, balanced contrast, clean pleasing frames, faithful original content, stable motion","low aesthetic score, low image quality, blurry, dull, flat, noisy, artifacts",4.000000,prompt_negative_cfg,Low-CFG fidelity prompt with artifact-focused negative prompt.,,completed,441
16,5,9b0a56a463fcd30a7e0cd7a31ad577463cedf1e2a3269a0c66d1f498fd2baffa,"photorealistic high image quality video restoration, natural sharpness, vivid but realistic colors, balanced contrast, clean pleasing frames, faithful original content, stable motion","low aesthetic score, low image quality, blurry, dull, flat, noisy, artifacts",4.250000,prompt_negative_cfg,Low-CFG fidelity prompt with artifact-focused negative prompt.,,completed,442
16,6,dfb9fe7ab4ca4632bd59ef0ffe6b156a8b3fc259da78beb8d10eb605ffca7126,"photorealistic high image quality video restoration, natural sharpness, vivid but realistic colors, balanced contrast, clean pleasing frames, faithful original content, stable motion","low aesthetic score, low image quality, blurry, dull, flat, noisy, artifacts",4.500000,prompt_negative_cfg,Low-CFG fidelity prompt with artifact-focused negative prompt.,,completed,443
16,7,d897d3b34c48fd4810dd5f519949cf096fb89b9a407073a808a2ee69c4807f1e,"photorealistic high image quality video restoration, natural sharpness, vivid but realistic colors, balanced contrast, clean pleasing frames, faithful original content, stable motion","low aesthetic score, low image quality, blurry, dull, flat, noisy, artifacts",4.750000,prompt_negative_cfg,Low-CFG fidelity prompt with artifact-focused negative prompt.,,completed,444
16,8,eaacb667246fde6f38dc49c4e667be77ca952c08e7b2914ea2a765d285c27552,"photorealistic high image quality video restoration, natural sharpness, vivid but realistic colors, balanced contrast, clean pleasing frames, faithful original content, stable motion","low aesthetic score, low image quality, blurry, dull, flat, noisy, artifacts",5.000000,prompt_negative_cfg,Low-CFG fidelity prompt with artifact-focused negative prompt.,,completed,445
16,9,9de305faa303ef78a647891a0bb5959d2b53ed3965a3115026e3d1e82c2cce4a,"photorealistic high image quality video restoration, natural sharpness, vivid but realistic colors, balanced contrast, clean pleasing frames, faithful original content, stable motion","low aesthetic score, low image quality, blurry, dull, flat, noisy, artifacts",5.500000,prompt_negative_cfg,Low-CFG fidelity prompt with artifact-focused negative prompt.,,completed,446
16,10,ac5b7c626dd58de6001d4b36e76632278bb6b1270eecf71ea219386edb149f46,"photorealistic high image quality video restoration, natural sharpness, vivid but realistic colors, balanced contrast, clean pleasing frames, faithful original content, stable motion","low aesthetic score, low image quality, blurry, dull, flat, noisy, artifacts",6.000000,prompt_negative_cfg,Low-CFG fidelity prompt with artifact-focused negative prompt.,,completed,447
16,11,a9603796a5542b90b0469e449bd48d11c2f30b307e6e643df79e257afbf22236,"photorealistic high image quality video restoration, natural sharpness, vivid but realistic colors, balanced contrast, clean pleasing frames, faithful original content, stable motion","unaesthetic, low quality, blur, dull colors, bad contrast, artifacts",2.000000,prompt_negative_cfg,Low-CFG fidelity prompt with artifact-focused negative prompt.,,completed,448
16,12,3f56d9fb60553f91eb678fae979c209098abaf93c072be8f51ce8839e1c70e53,"photorealistic high image quality video restoration, natural sharpness, vivid but realistic colors, balanced contrast, clean pleasing frames, faithful original content, stable motion","unaesthetic, low quality, blur, dull colors, bad contrast, artifacts",2.500000,prompt_negative_cfg,Low-CFG fidelity prompt with artifact-focused negative prompt.,,completed,449
